CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
666,Spain,Male,40,10,136948.57,1,0,1,125493.09,0
577,France,Male,27,8,140303.5,1,0,1,196653.41,0
524,Spain,Female,38,6,70904.53,1,1,0,170035.42,0
696,Germany,Female,30,6,94589.94,2,0,1,171526.72,1
774,France,Male,37,4,108652.65,2,0,0,166382.91,1
581,Spain,Female,18,9,0.0,2,0,1,96220.81,0
733,Spain,Female,28,1,23551.9,2,1,1,84679.92,0
719,Spain,Male,56,3,40779.53,1,1,0,108524.41,0
557,France,Female,49,2,116958.76,1,1,0,64171.42,1
581,France,Male,55,9,0.0,2,1,1,100847.41,0
821,France,Female,55,5,105485.78,3,0,0,34091.26,1
544,Spain,Male,47,7,0.0,2,1,0,179581.52,0
592,Germany,Female,35,10,57172.35,1,0,0,149777.43,0
837,Spain,Female,29,2,128136.99,3,1,1,21785.82,0
596,France,Female,53,10,172142.54,1,1,0,135390.31,1
779,France,Female,41,1,160415.21,1,1,0,154152.6,1
553,Germany,Female,67,8,139063.48,1,1,0,173706.26,1
663,France,Female,36,7,0.0,1,1,0,72533.76,0
753,Spain,Female,62,9,107880.51,2,0,1,129839.64,1
606,Germany,Male,38,1,191469.85,2,1,1,62456.43,0
659,Spain,Male,55,10,171724.27,1,1,1,171287.33,0
721,France,Male,59,8,60684.16,1,1,1,176280.39,0
564,Spain,Female,29,1,0.0,2,1,0,24545.06,1
850,Spain,Female,35,6,0.0,1,1,0,64163.64,0
749,Spain,Male,29,8,184133.03,1,0,0,29534.05,1
616,France,Male,26,5,116660.03,1,1,0,85764.57,1
628,France,Female,47,4,0.0,2,1,0,10978.33,0
832,France,Female,38,3,99313.41,3,0,0,158736.35,1
616,France,Female,41,5,8474.09,1,1,1,91975.84,0
605,Germany,Male,46,10,242143.11,2,1,0,111515.46,0
759,Germany,Male,20,6,111816.6,2,0,1,151097.41,0
517,Spain,Male,54,7,0.0,1,1,1,145341.53,0
643,France,Female,36,8,164579.64,2,1,0,69785.82,0
658,France,Female,46,8,210864.58,2,0,0,158725.8,0
583,France,Female,47,4,94473.21,2,1,1,131743.93,0
501,France,Male,55,8,99839.39,2,1,0,51452.53,0
657,France,Male,39,3,117378.4,1,1,0,15557.88,0
715,France,Female,18,6,0.0,2,1,1,153671.01,0
585,France,Female,41,3,69085.29,2,1,0,41473.01,1
538,Germany,Male,42,10,197660.14,1,0,0,31396.78,1
769,France,Female,29,8,0.0,2,0,0,89878.0,0
700,Spain,Female,42,6,61447.04,3,1,1,185126.41,1
